playlist_name,playlist_uri,playlist_tracks_url,playlist_num_tracks,snapshot_id,playlist_img,track_name,track_uri,artist_name,album_name,album_img,track_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,key_mode
Roadetripe,3dd4XQnoUDXc7Qq5uXFiT5,https://api.spotify.com/v1/users/liraop/playlists/3dd4XQnoUDXc7Qq5uXFiT5/tracks,33,G+cRGynM5rXIQqvCfDd/10LVOreilxblX59Wb3Ti4ywYW3ZUOX7oWJenNy9ndrA/,https://mosaic.scdn.co/640/6e183bec30e9765bb171beaa5899a033ad7b278c8ba4ffc04848098d83c60477c3f84d183b3fe0f7bde6b7d337851ce9b918ebab40ed167a949df466de09af0a58bcfef897b28d1a11c8cb83879cf2a6,The Next Time Around,5WkFcV8MymMUS0zc64sN41,Little Joy,Little Joy,https://i.scdn.co/image/bde6b7d337851ce9b918ebab40ed167a949df466,38,0.754,0.612,A#,-7.773,major,0.0313,0.788,0.0342,0.136,0.967,120.039,154253,4,A# major
Roadetripe,3dd4XQnoUDXc7Qq5uXFiT5,https://api.spotify.com/v1/users/liraop/playlists/3dd4XQnoUDXc7Qq5uXFiT5/tracks,33,G+cRGynM5rXIQqvCfDd/10LVOreilxblX59Wb3Ti4ywYW3ZUOX7oWJenNy9ndrA/,https://mosaic.scdn.co/640/6e183bec30e9765bb171beaa5899a033ad7b278c8ba4ffc04848098d83c60477c3f84d183b3fe0f7bde6b7d337851ce9b918ebab40ed167a949df466de09af0a58bcfef897b28d1a11c8cb83879cf2a6,Ragged Wood,5gXF3XyUkM9BVA8QW7uYUg,Fleet Foxes,Fleet Foxes,https://i.scdn.co/image/6e183bec30e9765bb171beaa5899a033ad7b278c,57,0.362,0.658,E,-5.929,major,0.0292,0.0995,0.0102,0.0602,0.155,104.21,307213,4,E major
Roadetripe,3dd4XQnoUDXc7Qq5uXFiT5,https://api.spotify.com/v1/users/liraop/playlists/3dd4XQnoUDXc7Qq5uXFiT5/tracks,33,G+cRGynM5rXIQqvCfDd/10LVOreilxblX59Wb3Ti4ywYW3ZUOX7oWJenNy9ndrA/,https://mosaic.scdn.co/640/6e183bec30e9765bb171beaa5899a033ad7b278c8ba4ffc04848098d83c60477c3f84d183b3fe0f7bde6b7d337851ce9b918ebab40ed167a949df466de09af0a58bcfef897b28d1a11c8cb83879cf2a6,Tudo o Que Você Podia Ser,4iNgXqTD2uux9GH4lTnNaN,Milton Nascimento,Clube Da Esquina,https://i.scdn.co/image/8ba4ffc04848098d83c60477c3f84d183b3fe0f7,45,0.454,0.441,D,-16.733,minor,0.0286,0.303,5.24e-4,0.104,0.817,95.7,177e3,4,D minor
Roadetripe,3dd4XQnoUDXc7Qq5uXFiT5,https://api.spotify.com/v1/users/liraop/playlists/3dd4XQnoUDXc7Qq5uXFiT5/tracks,33,G+cRGynM5rXIQqvCfDd/10LVOreilxblX59Wb3Ti4ywYW3ZUOX7oWJenNy9ndrA/,https://mosaic.scdn.co/640/6e183bec30e9765bb171beaa5899a033ad7b278c8ba4ffc04848098d83c60477c3f84d183b3fe0f7bde6b7d337851ce9b918ebab40ed167a949df466de09af0a58bcfef897b28d1a11c8cb83879cf2a6,Meu Esquema,5hO3HgwIygwqjkGsw6wdP3,Mundo Livre S/A,Por Pouco (Bit Box),https://i.scdn.co/image/de09af0a58bcfef897b28d1a11c8cb83879cf2a6,53,0.744,0.47,B,-12.061,minor,0.0414,0.878,0.0747,0.0982,0.657,138.058,259480,4,B minor
Roadetripe,3dd4XQnoUDXc7Qq5uXFiT5,https://api.spotify.com/v1/users/liraop/playlists/3dd4XQnoUDXc7Qq5uXFiT5/tracks,33,G+cRGynM5rXIQqvCfDd/10LVOreilxblX59Wb3Ti4ywYW3ZUOX7oWJenNy9ndrA/,https://mosaic.scdn.co/640/6e183bec30e9765bb171beaa5899a033ad7b278c8ba4ffc04848098d83c60477c3f84d183b3fe0f7bde6b7d337851ce9b918ebab40ed167a949df466de09af0a58bcfef897b28d1a11c8cb83879cf2a6,Maracatu Atômico,3cR6v2bOwqi7znC8P5Vs1T,Chico Science,Afrociberdelia,https://i.scdn.co/image/dc8cf45ea48211a40ba5268ea70c033805da8886,50,0.748,0.729,C#,-8.924,minor,0.0969,0.0142,2.72e-4,0.214,0.264,95.743,284173,4,C# minor
Roadetripe,3dd4XQnoUDXc7Qq5uXFiT5,https://api.spotify.com/v1/users/liraop/playlists/3dd4XQnoUDXc7Qq5uXFiT5/tracks,33,G+cRGynM5rXIQqvCfDd/10LVOreilxblX59Wb3Ti4ywYW3ZUOX7oWJenNy9ndrA/,https://mosaic.scdn.co/640/6e183bec30e9765bb171beaa5899a033ad7b278c8ba4ffc04848098d83c60477c3f84d183b3fe0f7bde6b7d337851ce9b918ebab40ed167a949df466de09af0a58bcfef897b28d1a11c8cb83879cf2a6,Chamber Of Reflection,1MJ5f5EYBC92ADD6xcz7nb,Mac DeMarco,Salad Days,https://i.scdn.co/image/dfa4fc823e436ffdc0d423c39f2a990e125b89e0,70,0.537,0.558,B,-8.678,major,0.0929,0.263,0.91,0.102,0.505,131.037,231724,4,B major
Roadetripe,3dd4XQnoUDXc7Qq5uXFiT5,https://api.spotify.com/v1/users/liraop/playlists/3dd4XQnoUDXc7Qq5uXFiT5/tracks,33,G+cRGynM5rXIQqvCfDd/10LVOreilxblX59Wb3Ti4ywYW3ZUOX7oWJenNy9ndrA/,https://mosaic.scdn.co/640/6e183bec30e9765bb171beaa5899a033ad7b278c8ba4ffc04848098d83c60477c3f84d183b3fe0f7bde6b7d337851ce9b918ebab40ed167a949df466de09af0a58bcfef897b28d1a11c8cb83879cf2a6,No Other Heart,2bOtPtzdNZMXxuAETyMSUt,Mac DeMarco,Another One,https://i.scdn.co/image/5b919c3e01d09949205185e6823c722bcda91237,55,0.67,0.684,D,-7.47,major,0.0242,0.517,0.0103,0.126,0.852,94.261,173118,4,D major
Roadetripe,3dd4XQnoUDXc7Qq5uXFiT5,https://api.spotify.com/v1/users/liraop/playlists/3dd4XQnoUDXc7Qq5uXFiT5/tracks,33,G+cRGynM5rXIQqvCfDd/10LVOreilxblX59Wb3Ti4ywYW3ZUOX7oWJenNy9ndrA/,https://mosaic.scdn.co/640/6e183bec30e9765bb171beaa5899a033ad7b278c8ba4ffc04848098d83c60477c3f84d183b3fe0f7bde6b7d337851ce9b918ebab40ed167a949df466de09af0a58bcfef897b28d1a11c8cb83879cf2a6,Grown Ocean,0h82v102GVrNPgwi36u9MY,Fleet Foxes,Helplessness Blues,https://i.scdn.co/image/21cb1a879664863231889144af06553b58d08460,38,0.343,0.719,C,-7.261,major,0.0542,0.0118,0.0406,0.123,0.203,157.678,276040,3,C major
Roadetripe,3dd4XQnoUDXc7Qq5uXFiT5,https://api.spotify.com/v1/users/liraop/playlists/3dd4XQnoUDXc7Qq5uXFiT5/tracks,33,G+cRGynM5rXIQqvCfDd/10LVOreilxblX59Wb3Ti4ywYW3ZUOX7oWJenNy9ndrA/,https://mosaic.scdn.co/640/6e183bec30e9765bb171beaa5899a033ad7b278c8ba4ffc04848098d83c60477c3f84d183b3fe0f7bde6b7d337851ce9b918ebab40ed167a949df466de09af0a58bcfef897b28d1a11c8cb83879cf2a6,Boy With a Coin,2ir2gcSm7S0H1Fa7oGKfLr,Iron & Wine,The Shepherd's Dog,https://i.scdn.co/image/744394ce8715635676ad9bf3b42b657a5b4666c7,55,0.66,0.566,C,-8.255,major,0.0293,0.123,0.795,0.122,0.295,125.747,245466,4,C major
Roadetripe,3dd4XQnoUDXc7Qq5uXFiT5,https://api.spotify.com/v1/users/liraop/playlists/3dd4XQnoUDXc7Qq5uXFiT5/tracks,33,G+cRGynM5rXIQqvCfDd/10LVOreilxblX59Wb3Ti4ywYW3ZUOX7oWJenNy9ndrA/,https://mosaic.scdn.co/640/6e183bec30e9765bb171beaa5899a033ad7b278c8ba4ffc04848098d83c60477c3f84d183b3fe0f7bde6b7d337851ce9b918ebab40ed167a949df466de09af0a58bcfef897b28d1a11c8cb83879cf2a6,A Horse with No Name,54eZmuggBFJbV7k248bTTt,America,America,https://i.scdn.co/image/8aad3712983eab1773d5926ac2409a89d485ec63,74,0.654,0.506,B,-17.18,minor,0.0535,0.686,0.0155,0.155,0.831,123.179,252240,4,B minor
